t_rel_s,seq,x0,x1,x2,x3,x4,x5,duty_u,duty_v,duty_w
15.188493,382,44.526000,43.791000,6.417000,6.515000,5.109000,0.000000,0,0,0
15.286191,383,44.651000,43.837000,6.450000,6.548000,5.141000,0.000000,0,0,0
15.386208,384,43.903000,43.186000,6.302000,6.384000,4.896000,0.000000,0,0,0
15.488562,385,43.872000,43.093000,6.335000,6.384000,4.912000,0.000000,0,0,0
15.588365,386,43.404000,42.534000,6.237000,6.368000,4.896000,0.000000,0,0,0
15.688270,387,45.336000,44.535000,6.499000,6.630000,5.141000,0.000000,0,0,0
15.788323,388,46.738000,45.978000,6.728000,6.924000,5.321000,0.000000,0,0,0
15.888320,389,47.486000,46.676000,6.859000,6.989000,5.403000,0.000000,0,0,0
15.988306,390,47.517000,46.723000,6.875000,7.022000,5.419000,0.000000,0,0,0
16.088291,391,48.608000,47.700000,6.989000,7.087000,5.436000,0.000000,0,0,0
16.188196,392,47.860000,47.049000,6.924000,6.989000,5.321000,0.000000,0,0,0
16.289576,393,48.265000,47.560000,6.989000,7.104000,5.436000,0.000000,0,0,0
16.388794,394,49.574000,48.770000,7.087000,7.267000,5.501000,0.000000,0,0,0
16.488351,395,50.135000,49.189000,7.218000,7.431000,5.648000,0.000000,0,0,0
16.588448,396,51.942000,51.190000,7.529000,7.725000,5.894000,0.000000,0,0,0
16.688486,397,52.035000,51.237000,7.529000,7.709000,5.894000,0.000000,0,0,0
16.788360,398,52.222000,51.190000,7.529000,7.725000,5.877000,0.000000,0,0,0
16.888337,399,53.593000,52.540000,7.693000,7.905000,5.992000,0.000000,0,0,0
16.988389,400,52.627000,52.633000,8.298000,8.527000,6.597000,0.000000,0,0,0
17.088539,401,53.874000,52.773000,7.742000,7.971000,6.024000,0.000000,0,0,0
17.188465,402,54.435000,53.564000,7.873000,8.052000,6.090000,0.000000,0,0,0
17.288624,403,55.182000,54.215000,7.987000,8.102000,6.123000,0.000000,0,0,0
17.388483,404,55.401000,54.681000,8.020000,8.216000,6.221000,0.000000,0,0,0
17.488640,405,55.494000,54.727000,8.052000,8.265000,6.237000,0.000000,0,0,0
17.588517,406,56.304000,55.518000,8.085000,8.363000,6.319000,0.000000,0,0,0
17.688656,407,56.958000,56.403000,8.151000,8.412000,6.417000,0.000000,0,0,0
17.788561,408,56.460000,55.798000,8.134000,8.347000,6.270000,0.000000,0,0,0
17.888762,409,56.522000,55.844000,8.134000,8.330000,6.253000,0.000000,0,0,0
17.988569,410,56.834000,55.984000,8.216000,8.396000,6.302000,0.000000,0,0,0
18.088657,411,57.114000,56.356000,8.298000,8.510000,6.384000,0.000000,0,0,0
18.188561,412,56.990000,56.309000,8.216000,8.527000,6.401000,0.000000,0,0,0
18.288643,413,57.395000,56.635000,8.216000,8.510000,6.417000,0.000000,0,0,0
18.388619,414,57.550000,56.775000,8.232000,8.494000,6.450000,0.000000,0,0,0
18.488823,415,57.987000,57.519000,8.363000,8.559000,6.466000,0.000000,0,0,0
18.586797,416,57.737000,57.008000,8.347000,8.543000,6.450000,0.000000,0,0,0
18.688685,417,58.142000,57.333000,8.429000,8.592000,6.417000,0.000000,0,0,0
18.786752,418,58.392000,57.706000,8.429000,8.625000,6.482000,0.000000,0,0,0
18.886570,419,58.641000,57.938000,8.478000,8.739000,6.548000,0.000000,0,0,0
18.986744,420,58.953000,58.078000,8.478000,8.707000,6.548000,0.000000,0,0,0
19.086646,421,60.168000,59.614000,8.641000,8.870000,6.646000,0.000000,0,0,0
19.186846,422,60.355000,60.033000,8.772000,8.952000,6.679000,0.000000,0,0,0
19.286879,423,60.511000,60.126000,8.870000,9.066000,6.711000,0.000000,0,0,0
19.386859,424,60.386000,60.265000,8.936000,9.083000,6.728000,0.000000,0,0,0
19.486817,425,60.324000,59.567000,8.707000,8.985000,6.695000,0.000000,0,0,0
19.586805,426,60.448000,59.800000,8.674000,8.968000,6.711000,0.000000,0,0,0
19.686902,427,60.448000,59.800000,8.723000,8.952000,6.711000,0.000000,0,0,0
