t_rel_s,seq,x0,x1,x2,x3,x4,x5,duty_u,duty_v,duty_w
8.308650,10492,4.816000,4.872000,3.570000,2.782000,2.782000,2.782000,0,0,0
8.408542,10493,4.816000,4.872000,3.603000,2.782000,2.782000,2.782000,0,0,0
8.508347,10494,4.836000,4.872000,3.521000,2.782000,2.782000,2.782000,0,0,0
8.608836,10495,4.836000,5.004000,3.587000,2.782000,2.782000,2.782000,0,0,0
8.708277,10496,4.836000,4.872000,3.570000,2.782000,2.782000,2.782000,0,0,0
8.808474,10497,4.777000,4.872000,3.554000,2.782000,2.782000,2.782000,0,0,0
8.908493,10498,4.856000,4.872000,3.570000,2.782000,2.782000,2.782000,0,0,0
9.008319,10499,4.836000,4.898000,3.587000,2.782000,2.782000,2.782000,0,0,0
9.108279,10500,4.836000,4.872000,3.570000,2.782000,2.782000,2.782000,0,0,0
9.208558,10501,4.856000,4.872000,3.570000,2.782000,2.782000,2.782000,0,0,0
9.308485,10502,4.856000,4.741000,3.570000,2.782000,2.782000,2.782000,0,0,0
9.408499,10503,4.935000,4.925000,3.570000,2.782000,2.782000,2.782000,0,0,0
9.508472,10504,4.816000,4.898000,3.652000,2.782000,2.782000,2.782000,0,0,0
9.608035,10505,4.875000,4.872000,3.570000,2.782000,2.782000,2.782000,0,0,0
9.707884,10506,4.875000,4.898000,3.570000,2.782000,2.782000,2.782000,0,0,0
9.808449,10507,4.836000,4.872000,3.570000,2.782000,2.782000,2.782000,0,0,0
9.908455,10508,4.856000,4.898000,3.570000,2.782000,2.782000,2.782000,0,0,0
10.008465,10509,4.895000,4.951000,3.570000,2.782000,2.782000,2.782000,0,0,0
10.108140,10510,4.915000,4.898000,3.521000,2.782000,2.782000,2.782000,0,0,0
10.208158,10511,4.875000,4.925000,3.570000,2.782000,2.782000,2.782000,0,0,0
10.308460,10512,4.895000,4.872000,3.570000,2.782000,2.782000,2.782000,0,0,0
10.408550,10513,4.875000,4.925000,3.554000,2.782000,2.782000,2.782000,0,0,0
10.508276,10514,4.895000,4.898000,3.554000,2.782000,2.782000,2.782000,0,0,0
10.608016,10515,4.915000,4.898000,3.570000,2.782000,2.782000,2.782000,0,0,0
10.707983,10516,4.915000,4.898000,3.685000,2.782000,2.782000,2.782000,0,0,0
10.808261,10517,4.875000,4.951000,3.554000,2.782000,2.782000,2.782000,0,0,0
10.907996,10518,4.895000,4.925000,3.570000,2.782000,2.782000,2.782000,0,0,0
11.008163,10519,4.895000,5.030000,3.570000,2.782000,2.782000,2.782000,0,0,0
11.108309,10520,4.915000,4.898000,3.554000,2.782000,2.782000,2.782000,0,0,0
11.208508,10521,4.915000,4.898000,3.570000,2.782000,2.782000,2.782000,0,0,0
11.308419,10522,4.895000,4.898000,3.554000,2.782000,2.782000,2.782000,0,0,0
11.408535,10523,4.915000,4.925000,3.554000,2.782000,2.782000,2.782000,0,0,0
11.508369,10524,4.915000,4.925000,3.554000,2.782000,2.782000,2.782000,0,0,0
11.607812,10525,4.915000,4.925000,3.554000,2.782000,2.782000,2.782000,0,0,0
11.708374,10526,4.935000,4.951000,3.554000,2.782000,2.782000,2.782000,0,0,0
