t_rel_s,esp_ticks,seq,x0,x1,x2,x3,x4,x5,duty_u,duty_v,duty_w
11.308217,13524,65,0.139000,0.139000,0.000000,0.000000,0.000000,0.000000,862,862,862
11.505721,13724,66,0.139000,0.139000,0.000000,0.000000,0.000000,0.000000,662,662,662
11.704870,13924,67,0.139000,0.139000,0.000000,0.000000,0.000000,0.000000,462,462,462
11.905102,14124,68,0.139000,0.139000,0.000000,0.000000,0.000000,0.000000,262,262,262
12.104718,14324,69,0.139000,0.139000,0.000000,0.000000,0.000000,0.000000,62,62,62
12.309294,14524,70,0.139000,0.139000,0.000000,0.000000,0.000000,0.000000,138,138,138
12.505887,14724,71,0.139000,0.139000,0.000000,0.000000,0.000000,0.000000,338,338,338
12.709160,14924,72,0.139000,0.139000,0.000000,0.000000,0.000000,0.000000,538,538,538
12.909546,15124,73,0.139000,0.139000,0.000000,0.000000,0.000000,0.000000,738,738,738
13.109586,15324,74,0.139000,0.139000,0.000000,0.000000,0.000000,0.000000,938,938,938
13.309883,15524,75,0.139000,0.139000,0.000000,0.000000,0.000000,0.000000,862,862,862
13.509593,15724,76,0.139000,0.139000,0.000000,0.000000,0.000000,0.000000,662,662,662
13.709518,15924,77,0.139000,0.139000,0.000000,0.000000,0.000000,0.000000,462,462,462
13.906141,16124,78,0.139000,0.139000,0.000000,0.000000,0.000000,0.000000,262,262,262
14.109258,16324,79,0.139000,0.139000,0.000000,0.000000,0.000000,0.000000,62,62,62
14.307880,16524,80,0.139000,0.139000,0.000000,0.000000,0.000000,0.000000,138,138,138
14.507146,16724,81,0.139000,0.139000,0.000000,0.000000,0.000000,0.000000,338,338,338
14.706583,16924,82,0.139000,0.139000,0.000000,0.000000,0.000000,0.000000,538,538,538
14.907196,17124,83,0.139000,0.139000,0.000000,0.000000,0.000000,0.000000,738,738,738
15.106831,17324,84,0.139000,0.139000,0.000000,0.000000,0.000000,0.000000,938,938,938
15.306579,17524,85,0.139000,0.139000,0.000000,0.000000,0.000000,0.000000,862,862,862
16.516214,181324,904,0.139000,0.139000,0.000000,0.000000,143.000000,128.000000,938,938,938
16.719844,181524,905,0.139000,0.139000,0.000000,0.000000,142.000000,128.000000,862,862,862
16.920235,181724,906,0.139000,0.139000,0.000000,0.000000,141.000000,127.000000,662,662,662
17.119936,181924,907,0.139000,0.139000,0.000000,0.000000,141.000000,128.000000,462,462,462
17.317086,182124,908,0.139000,0.139000,0.000000,0.000000,141.000000,128.000000,262,262,262
17.519536,182324,909,0.139000,0.139000,0.000000,0.000000,143.000000,128.000000,62,62,62
17.717231,182524,910,0.139000,0.139000,0.000000,0.000000,139.000000,127.000000,138,138,138
17.916550,182724,911,0.139000,0.139000,0.000000,0.000000,142.000000,128.000000,338,338,338
18.116784,182924,912,0.139000,0.139000,0.000000,0.000000,142.000000,128.000000,538,538,538
18.317201,183124,913,0.139000,0.139000,0.000000,0.000000,141.000000,128.000000,738,738,738
18.516403,183324,914,0.139000,0.139000,0.000000,0.000000,141.000000,128.000000,938,938,938
18.716220,183524,915,0.139000,0.139000,0.000000,0.000000,141.000000,127.000000,862,862,862
18.920037,183724,916,0.139000,0.139000,0.000000,0.000000,144.000000,128.000000,662,662,662
19.120167,183924,917,0.139000,0.139000,0.000000,0.000000,142.000000,128.000000,462,462,462
19.319791,184124,918,0.139000,0.139000,0.000000,0.000000,143.000000,128.000000,262,262,262
19.519059,184324,919,0.139000,0.139000,0.000000,0.000000,142.000000,128.000000,62,62,62
19.720336,184524,920,0.139000,0.139000,0.000000,0.000000,141.000000,129.000000,138,138,138
19.916363,184724,921,0.139000,0.139000,0.000000,0.000000,142.000000,128.000000,338,338,338
20.118916,184924,922,0.139000,0.139000,0.000000,0.000000,143.000000,127.000000,538,538,538
