t_rel_s,seq,x0,x1,x2,x3,x4,x5,duty_u,duty_v,duty_w
881.299155,1176,5.604000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
881.399685,1177,5.604000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
881.501743,1178,5.644000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
881.600377,1179,5.604000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
881.699560,1180,5.604000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
881.799534,1181,5.585000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
881.899324,1182,5.585000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
881.999398,1183,5.585000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
882.099329,1184,5.565000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
882.201413,1185,5.545000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
882.300332,1186,5.585000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
882.400289,1187,5.565000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
882.499126,1188,5.545000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
882.599446,1189,5.526000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
882.699559,1190,5.506000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
882.799448,1191,5.526000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
882.899282,1192,5.526000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
882.999425,1193,5.545000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
883.099331,1194,5.526000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
883.199432,1195,5.526000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
883.299487,1196,5.506000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
883.399694,1197,5.506000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
883.499087,1198,5.506000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
883.599432,1199,5.486000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
883.699666,1200,5.506000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
883.799579,1201,5.526000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
883.899606,1202,5.466000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
883.999477,1203,5.506000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
884.099617,1204,5.407000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
884.199639,1205,5.486000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
884.299679,1206,5.466000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
884.399670,1207,5.447000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
884.499063,1208,5.427000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
884.599341,1209,5.447000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
884.699217,1210,5.506000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
884.799165,1211,5.466000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
884.899512,1212,5.447000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
884.999501,1213,5.427000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
885.099294,1214,5.427000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
885.199507,1215,5.447000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
885.299524,1216,5.407000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
885.399497,1217,5.407000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
885.499112,1218,5.388000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
885.599496,1219,5.388000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
885.699531,1220,5.329000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
885.799328,1221,5.427000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
885.899468,1222,5.368000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
885.999469,1223,5.388000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
886.099453,1224,5.388000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
886.199519,1225,5.368000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
886.299209,1226,5.348000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
886.399478,1227,5.388000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
886.499031,1228,5.368000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
886.599683,1229,5.388000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
886.699576,1230,5.348000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
886.800736,1231,5.348000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
886.899618,1232,5.329000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
886.999445,1233,5.368000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
887.100266,1234,5.348000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
887.200559,1235,5.329000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
887.299709,1236,5.348000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
887.402351,1237,5.309000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
887.501085,1238,5.368000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
887.602142,1239,5.289000,4.452000,2.782000,2.782000,2.782000,2.782000,0,0,0
