t_rel_s,seq,x0,x1,x2,x3,x4,x5,duty_u,duty_v,duty_w
5.104820,202,5.171000,5.240000,2.782000,2.782000,2.782000,2.782000,0,0,0
5.205152,203,5.171000,5.240000,2.782000,2.782000,2.782000,2.782000,0,0,0
5.305700,204,5.230000,5.266000,2.782000,2.782000,2.782000,2.782000,0,0,0
5.405216,205,5.191000,5.292000,2.782000,2.782000,2.782000,2.782000,0,0,0
5.505695,206,5.053000,5.292000,2.782000,2.782000,2.782000,2.782000,0,0,0
5.604864,207,5.210000,5.345000,2.782000,2.782000,2.782000,2.782000,0,0,0
5.704695,208,5.151000,5.292000,2.782000,2.782000,2.782000,2.782000,0,0,0
5.804793,209,5.171000,5.319000,2.782000,2.782000,2.782000,2.782000,0,0,0
5.904761,210,5.210000,5.319000,2.782000,2.782000,2.782000,2.782000,0,0,0
6.004763,211,5.171000,5.319000,2.782000,2.782000,2.782000,2.782000,0,0,0
6.104255,212,5.210000,5.266000,2.782000,2.782000,2.782000,2.782000,0,0,0
6.204688,213,5.151000,5.266000,2.782000,2.782000,2.782000,2.782000,0,0,0
6.304693,214,5.210000,5.319000,2.782000,2.782000,2.782000,2.782000,0,0,0
6.405134,215,5.191000,5.345000,2.782000,2.782000,2.782000,2.782000,0,0,0
6.505309,216,5.250000,5.345000,2.782000,2.782000,2.782000,2.782000,0,0,0
6.604816,217,5.230000,5.345000,2.782000,2.782000,2.782000,2.782000,0,0,0
6.705408,218,5.210000,5.397000,2.782000,2.782000,2.782000,2.782000,0,0,0
6.804629,219,5.309000,5.345000,2.782000,2.782000,2.782000,2.782000,0,0,0
6.904634,220,5.210000,5.319000,2.782000,2.782000,2.782000,2.782000,0,0,0
7.004745,221,5.230000,5.292000,2.782000,2.782000,2.782000,2.782000,0,0,0
7.104880,222,5.230000,5.319000,2.782000,2.782000,2.782000,2.782000,0,0,0
7.204806,223,5.230000,5.345000,2.782000,2.782000,2.782000,2.782000,0,0,0
7.304602,224,5.171000,5.345000,2.782000,2.782000,2.782000,2.782000,0,0,0
7.404508,225,5.191000,5.345000,2.782000,2.782000,2.782000,2.782000,0,0,0
7.504794,226,5.033000,5.345000,2.782000,2.782000,2.782000,2.782000,0,0,0
7.604717,227,5.230000,5.371000,2.782000,2.782000,2.782000,2.782000,0,0,0
7.704253,228,5.250000,5.424000,2.782000,2.782000,2.782000,2.782000,0,0,0
7.804773,229,5.210000,5.345000,2.782000,2.782000,2.782000,2.782000,0,0,0
7.904697,230,5.230000,5.214000,2.782000,2.782000,2.782000,2.782000,0,0,0
8.004637,231,5.230000,5.345000,2.782000,2.782000,2.782000,2.782000,0,0,0
8.104733,232,5.230000,5.397000,2.782000,2.782000,2.782000,2.782000,0,0,0
8.204748,233,5.250000,5.424000,2.782000,2.782000,2.782000,2.782000,0,0,0
8.304732,234,5.230000,5.397000,2.782000,2.782000,2.782000,2.782000,0,0,0
8.404143,235,5.210000,5.424000,2.782000,2.782000,2.782000,2.782000,0,0,0
8.504779,236,5.250000,5.371000,2.782000,2.782000,2.782000,2.782000,0,0,0
8.604756,237,5.191000,5.581000,2.782000,2.782000,2.782000,2.782000,0,0,0
8.704753,238,5.191000,5.397000,2.782000,2.782000,2.782000,2.782000,0,0,0
8.804758,239,5.210000,5.240000,2.782000,2.782000,2.782000,2.782000,0,0,0
8.905130,240,5.210000,5.424000,2.782000,2.782000,2.782000,2.782000,0,0,0
9.004891,241,5.191000,5.397000,2.782000,2.782000,2.782000,2.782000,0,0,0
9.104774,242,5.151000,5.371000,2.782000,2.782000,2.782000,2.782000,0,0,0
9.204834,243,5.132000,5.529000,2.782000,2.782000,2.782000,2.782000,0,0,0
9.304666,244,5.112000,5.424000,2.782000,2.782000,2.782000,2.782000,0,0,0
9.404775,245,5.151000,5.319000,2.782000,2.782000,2.782000,2.782000,0,0,0
9.504812,246,5.112000,5.371000,2.782000,2.782000,2.782000,2.782000,0,0,0
9.604406,247,5.072000,5.319000,2.782000,2.782000,2.782000,2.782000,0,0,0
9.705342,248,5.033000,5.266000,2.782000,2.782000,2.782000,2.782000,0,0,0
9.804423,249,5.033000,5.319000,2.782000,2.782000,2.782000,2.782000,0,0,0
9.904671,250,4.994000,5.319000,2.782000,2.782000,2.782000,2.782000,0,0,0
10.004598,251,5.013000,5.424000,2.782000,2.782000,2.782000,2.782000,0,0,0
10.104507,252,4.974000,5.240000,2.782000,2.782000,2.782000,2.782000,0,0,0
10.204770,253,4.974000,5.266000,2.782000,2.782000,2.782000,2.782000,0,0,0
10.304788,254,4.935000,5.187000,2.782000,2.782000,2.782000,2.782000,0,0,0
10.405439,255,4.935000,5.161000,2.782000,2.782000,2.782000,2.782000,0,0,0
10.505237,256,4.935000,5.135000,2.782000,2.782000,2.782000,2.782000,0,0,0
10.604883,257,4.954000,5.161000,2.782000,2.782000,2.782000,2.782000,0,0,0
10.705303,258,4.659000,5.161000,2.782000,2.782000,2.782000,2.782000,0,0,0
10.804242,259,4.935000,5.082000,2.782000,2.782000,2.782000,2.782000,0,0,0
10.904650,260,4.915000,5.082000,2.782000,2.782000,2.782000,2.782000,0,0,0
11.004913,261,4.895000,5.082000,2.782000,2.782000,2.782000,2.782000,0,0,0
11.104666,262,4.738000,5.056000,2.782000,2.782000,2.782000,2.782000,0,0,0
11.204397,263,4.895000,5.004000,2.782000,2.782000,2.782000,2.782000,0,0,0
11.304675,264,4.856000,5.056000,2.782000,2.782000,2.782000,2.782000,0,0,0
11.404760,265,4.895000,5.135000,2.782000,2.782000,2.782000,2.782000,0,0,0
11.504921,266,4.875000,5.004000,2.782000,2.782000,2.782000,2.782000,0,0,0
11.605080,267,4.856000,4.977000,2.782000,2.782000,2.782000,2.782000,0,0,0
11.704866,268,4.875000,4.951000,2.782000,2.782000,2.782000,2.782000,0,0,0
11.804334,269,4.856000,4.925000,2.782000,2.782000,2.782000,2.782000,0,0,0
11.904580,270,4.974000,4.898000,2.782000,2.782000,2.782000,2.782000,0,0,0
12.004941,271,4.856000,5.030000,2.782000,2.782000,2.782000,2.782000,0,0,0
12.104421,272,4.757000,4.898000,2.782000,2.782000,2.782000,2.782000,0,0,0
12.204657,273,4.856000,4.951000,2.782000,2.782000,2.782000,2.782000,0,0,0
12.304770,274,4.856000,4.898000,2.782000,2.782000,2.782000,2.782000,0,0,0
12.404647,275,4.836000,4.925000,2.782000,2.782000,2.782000,2.782000,0,0,0
12.504856,276,4.875000,4.951000,2.782000,2.782000,2.782000,2.782000,0,0,0
12.604718,277,4.875000,4.898000,2.782000,2.782000,2.782000,2.782000,0,0,0
12.704977,278,4.875000,4.898000,2.782000,2.782000,2.782000,2.782000,0,0,0
12.804867,279,4.856000,4.925000,2.782000,2.782000,2.782000,2.782000,0,0,0
12.904742,280,4.836000,4.872000,2.782000,2.782000,2.782000,2.782000,0,0,0
13.005013,281,4.836000,4.898000,2.782000,2.782000,2.782000,2.782000,0,0,0
13.104756,282,4.915000,4.925000,2.782000,2.782000,2.782000,2.782000,0,0,0
13.204705,283,4.895000,4.925000,2.782000,2.782000,2.782000,2.782000,0,0,0
13.304820,284,4.777000,4.688000,2.782000,2.782000,2.782000,2.782000,0,0,0
13.404650,285,4.895000,4.951000,2.782000,2.782000,2.782000,2.782000,0,0,0
13.504719,286,4.895000,4.898000,2.782000,2.782000,2.782000,2.782000,0,0,0
13.604670,287,4.895000,4.951000,2.782000,2.782000,2.782000,2.782000,0,0,0
13.704712,288,4.915000,4.951000,2.782000,2.782000,2.782000,2.782000,0,0,0
13.804758,289,4.895000,4.925000,2.782000,2.782000,2.782000,2.782000,0,0,0
13.904680,290,4.895000,4.951000,2.782000,2.782000,2.782000,2.782000,0,0,0
14.004624,291,4.856000,4.951000,2.782000,2.782000,2.782000,2.782000,0,0,0
14.104784,292,4.915000,4.925000,2.782000,2.782000,2.782000,2.782000,0,0,0
14.204704,293,4.895000,4.951000,2.782000,2.782000,2.782000,2.782000,0,0,0
14.304174,294,4.915000,4.977000,2.782000,2.782000,2.782000,2.782000,0,0,0
14.404691,295,4.915000,4.925000,2.782000,2.782000,2.782000,2.782000,0,0,0
14.504801,296,4.895000,5.082000,2.782000,2.782000,2.782000,2.782000,0,0,0
14.605308,297,4.915000,4.977000,2.782000,2.782000,2.782000,2.782000,0,0,0
14.704925,298,4.915000,4.925000,2.782000,2.782000,2.782000,2.782000,0,0,0
14.804706,299,4.915000,4.951000,2.782000,2.782000,2.782000,2.782000,0,0,0
14.904841,300,4.915000,5.004000,2.782000,2.782000,2.782000,2.782000,0,0,0
15.004812,301,4.915000,5.004000,2.782000,2.782000,2.782000,2.782000,0,0,0
15.104752,302,4.915000,4.977000,2.782000,2.782000,2.782000,2.782000,0,0,0
15.204813,303,4.915000,5.004000,2.782000,2.782000,2.782000,2.782000,0,0,0
15.304807,304,4.895000,5.030000,2.782000,2.782000,2.782000,2.782000,0,0,0
15.404456,305,4.915000,5.082000,2.782000,2.782000,2.782000,2.782000,0,0,0
15.504715,306,4.915000,5.004000,2.782000,2.782000,2.782000,2.782000,0,0,0
15.604599,307,4.915000,4.977000,2.782000,2.782000,2.782000,2.782000,0,0,0
15.705298,308,4.915000,5.030000,2.782000,2.782000,2.782000,2.782000,0,0,0
15.805307,309,4.915000,4.977000,2.782000,2.782000,2.782000,2.782000,0,0,0
15.905110,310,4.915000,4.977000,2.782000,2.782000,2.782000,2.782000,0,0,0
16.005565,311,4.915000,5.004000,2.782000,2.782000,2.782000,2.782000,0,0,0
16.105333,312,4.954000,4.977000,2.782000,2.782000,2.782000,2.782000,0,0,0
16.205423,313,4.915000,4.977000,2.782000,2.782000,2.782000,2.782000,0,0,0
16.305339,314,4.915000,5.004000,2.782000,2.782000,2.782000,2.782000,0,0,0
16.405147,315,4.895000,5.004000,2.782000,2.782000,2.782000,2.782000,0,0,0
16.505722,316,4.915000,5.004000,2.782000,2.782000,2.782000,2.782000,0,0,0
16.605420,317,4.915000,5.004000,2.782000,2.782000,2.782000,2.782000,0,0,0
16.705565,318,4.954000,4.977000,2.782000,2.782000,2.782000,2.782000,0,0,0
16.805000,319,4.935000,4.977000,2.782000,2.782000,2.782000,2.782000,0,0,0
16.905492,320,4.915000,5.030000,2.782000,2.782000,2.782000,2.782000,0,0,0
17.005607,321,4.915000,4.977000,2.782000,2.782000,2.782000,2.782000,0,0,0
17.105453,322,4.915000,5.030000,2.782000,2.782000,2.782000,2.782000,0,0,0
17.205364,323,4.915000,5.004000,2.782000,2.782000,2.782000,2.782000,0,0,0
17.305565,324,4.935000,5.004000,2.782000,2.782000,2.782000,2.782000,0,0,0
17.405132,325,4.935000,5.004000,2.782000,2.782000,2.782000,2.782000,0,0,0
17.505553,326,4.935000,4.951000,2.782000,2.782000,2.782000,2.782000,0,0,0
17.605378,327,4.915000,5.004000,2.782000,2.782000,2.782000,2.782000,0,0,0
17.704788,328,4.954000,5.030000,2.782000,2.782000,2.782000,2.782000,0,0,0
17.804811,329,4.777000,5.056000,2.782000,2.782000,2.782000,2.782000,0,0,0
17.905142,330,4.954000,5.187000,2.782000,2.782000,2.782000,2.782000,0,0,0
18.004785,331,4.935000,5.030000,2.782000,2.782000,2.782000,2.782000,0,0,0
18.104858,332,4.895000,5.030000,2.782000,2.782000,2.782000,2.782000,0,0,0
18.204903,333,4.954000,5.082000,2.782000,2.782000,2.782000,2.782000,0,0,0
18.304883,334,4.935000,5.056000,2.782000,2.782000,2.782000,2.782000,0,0,0
18.405322,335,4.974000,5.135000,2.782000,2.782000,2.782000,2.782000,0,0,0
18.505331,336,5.092000,5.109000,2.782000,2.782000,2.782000,2.782000,0,0,0
18.604762,337,4.935000,5.056000,2.782000,2.782000,2.782000,2.782000,0,0,0
18.704106,338,4.974000,5.030000,2.782000,2.782000,2.782000,2.782000,0,0,0
18.804269,339,4.994000,5.030000,2.782000,2.782000,2.782000,2.782000,0,0,0
18.904502,340,4.954000,4.767000,2.782000,2.782000,2.782000,2.782000,0,0,0
19.004369,341,4.935000,5.082000,2.782000,2.782000,2.782000,2.782000,0,0,0
19.104277,342,4.954000,5.056000,2.782000,2.782000,2.782000,2.782000,0,0,0
19.204902,343,4.935000,5.030000,2.782000,2.782000,2.782000,2.782000,0,0,0
19.305485,344,4.974000,5.135000,2.782000,2.782000,2.782000,2.782000,0,0,0
19.405207,345,5.112000,5.056000,2.782000,2.782000,2.782000,2.782000,0,0,0
19.505462,346,4.974000,5.056000,2.782000,2.782000,2.782000,2.782000,0,0,0
19.605318,347,4.954000,5.030000,2.782000,2.782000,2.782000,2.782000,0,0,0
19.705323,348,4.974000,5.030000,2.782000,2.782000,2.782000,2.782000,0,0,0
19.805341,349,4.974000,5.082000,2.782000,2.782000,2.782000,2.782000,0,0,0
19.905523,350,4.935000,5.056000,2.782000,2.782000,2.782000,2.782000,0,0,0
20.005485,351,4.954000,5.056000,2.782000,2.782000,2.782000,2.782000,0,0,0
20.105486,352,5.112000,5.056000,2.782000,2.782000,2.782000,2.782000,0,0,0
20.205320,353,4.994000,5.109000,2.782000,2.782000,2.782000,2.782000,0,0,0
20.305299,354,4.994000,5.109000,2.782000,2.782000,2.782000,2.782000,0,0,0
20.405531,355,4.954000,5.056000,2.782000,2.782000,2.782000,2.782000,0,0,0
20.505354,356,5.013000,5.319000,2.782000,2.782000,2.782000,2.782000,0,0,0
20.605426,357,5.191000,5.109000,2.782000,2.782000,2.782000,2.782000,0,0,0
20.705484,358,4.954000,5.135000,2.782000,2.782000,2.782000,2.782000,0,0,0
20.805318,359,4.994000,5.082000,2.782000,2.782000,2.782000,2.782000,0,0,0
20.905297,360,4.994000,5.082000,2.782000,2.782000,2.782000,2.782000,0,0,0
21.005423,361,4.994000,5.135000,2.782000,2.782000,2.782000,2.782000,0,0,0
21.105396,362,4.994000,5.109000,2.782000,2.782000,2.782000,2.782000,0,0,0
21.205378,363,4.994000,5.135000,2.782000,2.782000,2.782000,2.782000,0,0,0
21.305382,364,4.974000,5.109000,2.782000,2.782000,2.782000,2.782000,0,0,0
21.405293,365,4.974000,5.082000,2.782000,2.782000,2.782000,2.782000,0,0,0
21.505311,366,4.974000,5.135000,2.782000,2.782000,2.782000,2.782000,0,0,0
21.605320,367,5.191000,5.109000,2.782000,2.782000,2.782000,2.782000,0,0,0
21.705464,368,5.033000,5.135000,2.782000,2.782000,2.782000,2.782000,0,0,0
21.804941,369,5.013000,5.187000,2.782000,2.782000,2.782000,2.782000,0,0,0
21.905452,370,5.013000,5.135000,2.782000,2.782000,2.782000,2.782000,0,0,0
22.005381,371,4.994000,5.135000,2.782000,2.782000,2.782000,2.782000,0,0,0
22.105368,372,5.033000,5.082000,2.782000,2.782000,2.782000,2.782000,0,0,0
22.205319,373,4.994000,5.135000,2.782000,2.782000,2.782000,2.782000,0,0,0
22.305471,374,5.013000,5.135000,2.782000,2.782000,2.782000,2.782000,0,0,0
22.405443,375,5.013000,5.109000,2.782000,2.782000,2.782000,2.782000,0,0,0
22.505326,376,4.994000,5.135000,2.782000,2.782000,2.782000,2.782000,0,0,0
22.605458,377,5.013000,5.109000,2.782000,2.782000,2.782000,2.782000,0,0,0
