Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C18, C7, C8, C9",CP_Elec_8x10.5,7,220u,
"C10, C12, C15, C17, C2, C5, C6",0805,7,1u,
"C11, C16, C3, C4",0805,4,22u,
"D1, D2, D3, D4",D_SMA_Handsoldering,4,SS14,
"J1, J3",Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,2,Conn_02x02_ZigZag,
J2,Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical,1,Conn_02x03_ZigZag,
J4,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,1,Conn_02x01,
"L1, L2, L3, L4",Msd1260t,4,MSD1260t,
"R1, R2",0805,2,1k5,
"R3, R5, R6, R8, R9",0805,5,1k,
"R4, R7",0805,2,10k,
"U3, U4, U5",TO-263-5_TabPin3,3,XL6009,
