Designator,Mid X,Mid Y,Rotation,Layer
C1,111.5951,-57.42745,0.0,top
C10,96.2628,-56.3973,90.0,top
C11,83.6898,-77.7079,270.0,top
C12,98.7266,-88.1473,90.0,top
C13,91.5384,-91.5509,0.0,top
C14,67.9939,-58.2773,0.0,top
C15,75.2583,-57.0581,90.0,top
C16,62.6853,-78.3687,270.0,top
C17,77.7221,-88.8081,90.0,top
C18,70.5339,-92.2117,0.0,top
C2,118.8595,-56.20825,90.0,top
C3,106.2865,-77.51885,270.0,top
C4,57.088,-80.2004,90.0,top
C5,48.198,-86.1987,90.0,top
C6,121.3233,-87.95825,90.0,top
C7,53.3034,-92.1931,180.0,top
C8,114.1351,-91.36185,0.0,top
C9,88.9984,-57.6165,0.0,top
D1,54.294,-81.5681,90.0,top
D2,105.5753,-84.24985,90.0,top
D3,82.9786,-84.4389,90.0,top
D4,61.9741,-85.0997,90.0,top
J1,87.4143,-44.5597,180.0,top
J2,62.1241,-106.5505,0.0,top
J3,90.4705,-106.5505,0.0,top
J4,115.1593,-106.5505,0.0,top
L1,107.5819,-77.36645,270.0,top
L2,49.0294,-74.5308,0.0,top
L3,84.9852,-77.5555,270.0,top
L4,63.9807,-78.2163,270.0,top
R1,102.7813,-85.72305,90.0,top
R2,102.7559,-80.66845,90.0,top
R3,102.7559,-75.56305,90.0,top
R4,80.1846,-85.9121,90.0,top
R5,80.1592,-80.8575,90.0,top
R6,80.1592,-75.7521,90.0,top
R7,59.1801,-86.5729,90.0,top
R8,59.1547,-81.5183,90.0,top
R9,59.1547,-76.4129,90.0,top
U3,113.6525,-67.89225,0.0,top
U4,91.0558,-68.0813,0.0,top
U5,70.0513,-68.7421,0.0,top
