Designator,Footprint,Quantity,Value,LCSC Part #
"C19, C23, C7",CP_Elec_8x10.5,3,220u,
"C20, C22, C5",0805,3,1u,
C4,0805,1,22u,
"D1, D5",D_SMA_Handsoldering,2,SS14,
"J1, J3",Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,2,Conn_02x02_ZigZag,
J2,Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical,1,Conn_02x03_ZigZag,
J4,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,1,Conn_02x01,
"L2, L5",Msd1260t,2,MSD1260t,
R10,0805,1,10k,
"R11, R12",0805,2,1k,
U1,YAAJ_DCDC_StepDown_LM2596,1,YAAJ_DCDC_StepDown_LM2596,
U2,XL6009-Module,1,Módulo XL6009,
U6,TO-263-5_TabPin3,1,XL6009,
