Designator,Mid X,Mid Y,Rotation,Layer
C19,67.691,-58.2422,0.0,top
C20,74.9808,-57.2477,90.0,top
C22,77.5462,-88.7984,90.0,top
C23,70.502,-92.2274,0.0,top
C4,57.0992,-80.1116,90.0,top
C5,48.198,-86.1987,90.0,top
C7,53.3034,-92.1931,180.0,top
D1,54.294,-81.5681,90.0,top
D5,61.9252,-85.05,90.0,top
J1,87.4143,-44.5597,180.0,top
J2,62.1241,-106.5505,0.0,top
J3,90.4705,-106.5505,0.0,top
J4,115.1593,-106.5505,0.0,top
L2,49.0294,-74.5308,0.0,top
L5,63.8649,-78.1998,270.0,top
R10,59.0804,-86.5632,90.0,top
R11,59.1312,-81.407,90.0,top
R12,59.2074,-76.5208,90.0,top
U1,112.7889,-74.35675,270.0,top
U2,91.0577,-73.9428,270.0,top
U6,70.1086,-68.6054,0.0,top
