"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1,C30,C6,C16,C21,C37,C19,C15,C7,C3,C24,C33,C26,C14,C31,C4,C28,C25,C2,C39,C17,C23,C18,C35,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";25;"0,1u";;;
2;"C13,C9,C12,C11,C10,C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"330n";;;
3;"R29,R21,R13,R37";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"3k3";;;
4;"R42,R61,R56,R84,R75,R51,R41,R39,R40,R79,R70,R44,R65,R89,R43";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";15;"1k";;;
5;"U14,U20,U24,U25,U18,U13,U23,U15,U19";"DIP-6_W7.62mm";9;"H11L1";;;
6;"Q2,Q4,Q5,Q6,Q3,Q1";"TO-92_Inline";6;"BC337";;;
7;"R15,R28,R7,R32,R27,R19,R38,R20,R24,R46,R35,R16,R30,R31,R8,R12,R23,R14,R22,R36,R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";21;"10k";;;
8;"U12,U10,U17";"DIP-14_W7.62mm";3;"HEF4093B";;;
9;"R64,R50,R78";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"11k";;;
10;"U8";"TJA1050";1;"TJA1050";;;
11;"R82,R73,R87,R59,R68,R54";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"100k";;;
12;"J5,J4";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";2;"Conn_01x02_Pin";;;
13;"J13,J16,J17,J19,J20,J14";"PinHeader_1x02_P2.54mm_Vertical";6;"Conn_01x02_Pin";;;
14;"R6,R17,R18,R25,R3,R26,R33,R9,R34,R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";10;"91 1/8W";;;
15;"R48,R76,R62";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"1k3";;;
16;"C27,C29,C38,C20,C36,C22";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"6,8n";;;
17;"U9,U11,U16";"DIP-8_W7.62mm";3;"TL072";;;
18;"U7,U4,U5,U6";"DIP-14_W7.62mm";4;"LM324";;;
19;"R81,R53,R67,R58,R72,R86";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"180";;;
20;"F3,F2";"Fuse_1210_3225Metric_Pad1.42x2.65mm_HandSolder";2;"0,4A";;;
21;"F1";"Fuse_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"1A";;;
22;"U22,U21";"ESP32-DevKitC";2;"ESP32-DevKitC";;;
23;"U1";"DIP-8_W7.62mm";1;"LM358";;;
24;"J8,J9,J7,J6";"Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical";4;"Conn_01x03_Pin";;;
25;"R4";"R_Axial_DIN0614_L14.3mm_D5.7mm_P5.08mm_Vertical";1;"4k7 2W";;;
26;"R45";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100";;;
27;"R49,R63,R77";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"39k";;;
28;"J15,J18,J12";"IDC_Header_2x07";3;"Conn_02x07_Odd_Even";;;
29;"J21,J22";"Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical";2;"Conn_01x04_Pin";;;
30;"J2";"Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical";1;"Conn_02x03";;;
31;"U2,U3";"LEM_LV25-P";2;"LV25-P";;;
32;"J10,J11";"Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical";2;"Conn_01x02_Pin";;;
33;"C32,C34";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";2;"10u";;;
34;"J3,J1";"Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical";2;"Conn_02x02";;;
35;"R2";"R_Axial_DIN0516_L15.5mm_D5.0mm_P5.08mm_Vertical";1;"2k7 1W";;;
36;"R47";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"20k";;;
37;"F4";"Fuse_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"3A";;;
38;"R1";"R_Axial_DIN0614_L14.3mm_D5.7mm_P5.08mm_Vertical";1;"3k3 1W";;;
39;"R5";"R_Axial_DIN0516_L15.5mm_D5.0mm_P5.08mm_Vertical";1;"3k3 1/2W";;;
