Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C15, C16, C17, C18, C19, C2, C21, C23, C24, C25, C26, C28, C3, C30, C31, C33, C35, C37, C39, C4, C5, C6, C7",0805,25,"0,1u",
"C10, C11, C12, C13, C8, C9",0805,6,330n,
"C20, C22, C27, C29, C36, C38",0805,6,"6,8n",
"C32, C34",1210,2,10u,
F1,1210,1,1A,
"F2, F3",1210,2,"0,4A",
F4,1210,1,3A,
"J1, J3",Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,2,Conn_02x02,
"J10, J11",Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,2,Conn_01x02_Pin,
"J12, J15, J18",IDC_Header_2x07,3,Conn_02x07_Odd_Even,
"J13, J14, J16, J17, J19, J20",PinHeader_1x02_P2.54mm_Vertical,6,Conn_01x02_Pin,
J2,Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical,1,Conn_02x03,
"J21, J22",Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,
"J4, J5",Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
"J6, J7, J8, J9",Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,4,Conn_01x03_Pin,
R1,R_Axial_DIN0614_L14.3mm_D5.7mm_P5.08mm_Vertical,1,3k3 1W,
"R10, R17, R18, R25, R26, R3, R33, R34, R6, R9",0805,10,91 1/8W,
"R11, R12, R14, R15, R16, R19, R20, R22, R23, R24, R27, R28, R30, R31, R32, R35, R36, R38, R46, R7, R8",0805,21,10k,
"R13, R21, R29, R37",0805,4,3k3,
R2,R_Axial_DIN0516_L15.5mm_D5.0mm_P5.08mm_Vertical,1,2k7 1W,
"R39, R40, R41, R42, R43, R44, R51, R56, R61, R65, R70, R75, R79, R84, R89",0805,15,1k,
R4,R_Axial_DIN0614_L14.3mm_D5.7mm_P5.08mm_Vertical,1,4k7 2W,
R45,0805,1,100,
R47,0805,1,20k,
"R48, R62, R76",0805,3,1k3,
"R49, R63, R77",0805,3,39k,
R5,R_Axial_DIN0516_L15.5mm_D5.0mm_P5.08mm_Vertical,1,3k3 1/2W,
"R50, R64, R78",0805,3,11k,
"R53, R58, R67, R72, R81, R86",0805,6,180,
"R54, R59, R68, R73, R82, R87",0805,6,100k,
U1,DIP-8_W7.62mm,1,LM358,
"U10, U12, U17",DIP-14_W7.62mm,3,HEF4093B,
"U11, U16, U9",DIP-8_W7.62mm,3,TL072,
"U13, U14, U15, U18, U19, U20, U23, U24, U25",DIP-6_W7.62mm,9,H11L1,
"U2, U3",LEM_LV25-P,2,LV25-P,
"U21, U22",ESP32-DevKitC,2,ESP32-DevKitC,
"U4, U5, U6, U7",DIP-14_W7.62mm,4,LM324,
U8,TJA1050,1,TJA1050,
