Designator,Mid X,Mid Y,Rotation,Layer
C1,111.82935,-114.2637,90.0,top
C10,135.911524,-108.257577,90.0,top
C11,138.451524,-108.257577,90.0,top
C12,140.991524,-108.257577,90.0,top
C13,143.531524,-108.257577,90.0,top
C14,93.3755,-88.1486,180.0,top
C15,74.3509,-51.217,180.0,top
C16,46.6864,-46.4633,270.0,top
C17,118.663701,-51.217001,180.0,top
C18,90.999201,-46.463301,270.0,top
C2,48.0072,-127.5694,90.0,top
C20,106.185401,-68.9342,180.0,top
C21,106.214701,-56.8184,0.0,top
C22,94.171201,-68.9342,180.0,top
C23,94.200501,-56.8184,0.0,top
C24,162.9765,-51.217,180.0,top
C25,135.312,-46.4633,270.0,top
C27,150.4982,-68.934199,180.0,top
C28,150.5275,-56.818399,0.0,top
C29,138.484,-68.934199,180.0,top
C3,77.6503,-127.5383,90.0,top
C30,138.5133,-56.818399,0.0,top
C31,37.51972,-93.44472,270.0,top
C32,34.62412,-93.41932,270.0,top
C33,168.60368,-106.04268,90.0,top
C34,171.49928,-106.06808,90.0,top
C36,49.8584,-68.934199,180.0,top
C37,49.8877,-56.818399,0.0,top
C38,61.8726,-68.934199,180.0,top
C39,61.9019,-56.818399,0.0,top
C4,114.919534,-146.3288,180.0,top
C5,131.890067,-146.223,180.0,top
C6,148.8606,-146.243,180.0,top
C7,165.831133,-146.1468,180.0,top
C8,130.831524,-108.257577,90.0,top
C9,133.371524,-108.257577,90.0,top
F1,45.0714,-69.8807,270.0,top
F2,46.28,-132.9796,90.0,top
F3,46.3308,-119.3652,270.0,top
F4,36.7194,-40.5638,0.0,top
J1,37.5852,-70.4678,270.0,top
J10,104.394,-105.7216,180.0,top
J11,95.0976,-105.8232,180.0,top
J12,66.092,-36.993,270.0,top
J13,74.5756,-45.2988,0.0,top
J14,70.4862,-45.2734,0.0,top
J15,110.404801,-36.993001,270.0,top
J16,118.888401,-45.298801,0.0,top
J17,114.799001,-45.273401,0.0,top
J18,154.7176,-36.993,270.0,top
J19,163.2012,-45.2988,0.0,top
J2,38.3298,-123.616,270.0,top
J20,159.1118,-45.2734,0.0,top
J21,48.97512,-81.22732,180.0,top
J22,157.14828,-118.26008,0.0,top
J3,37.3462,-47.835,0.0,top
J4,70.7656,-152.2582,0.0,top
J5,100.3579,-152.4187,0.0,top
J6,114.599335,-151.1294,180.0,top
J7,131.569868,-151.0236,180.0,top
J8,148.540401,-151.0436,180.0,top
J9,165.510934,-150.9474,180.0,top
R1,61.5708,-149.7552,90.0,top
R10,122.711934,-143.068,90.0,top
R11,120.771533,-134.4764,270.0,top
R12,111.865534,-125.7294,180.0,top
R13,120.746133,-127.863,90.0,top
R14,115.742334,-125.704,180.0,top
R15,125.473867,-131.2878,270.0,top
R16,125.473867,-135.158001,270.0,top
R17,137.716667,-142.9558,90.0,top
R18,139.682467,-142.9622,90.0,top
R19,137.742066,-134.3706,270.0,top
R2,54.3826,-150.8866,270.0,top
R20,128.836067,-125.6236,180.0,top
R21,137.716666,-127.7572,90.0,top
R22,132.712867,-125.5982,180.0,top
R23,142.4444,-131.3078,270.0,top
R24,142.4444,-135.178001,270.0,top
R25,154.6872,-142.9758,90.0,top
R26,156.653,-142.9822,90.0,top
R27,154.712599,-134.3906,270.0,top
R28,145.8066,-125.6436,180.0,top
R29,154.687199,-127.7772,90.0,top
R3,116.0284,-108.4686,0.0,top
R30,149.6834,-125.6182,180.0,top
R31,159.414933,-131.2116,270.0,top
R32,159.414933,-135.081801,270.0,top
R33,171.657733,-142.8796,90.0,top
R34,173.623533,-142.886,90.0,top
R35,171.683132,-134.2944,270.0,top
R36,162.777133,-125.5474,180.0,top
R37,171.657732,-127.681,90.0,top
R38,166.653933,-125.522,180.0,top
R39,130.821364,-116.262477,90.0,top
R4,91.1631,-149.9157,90.0,top
R40,133.361364,-116.262477,90.0,top
R41,135.901364,-116.262477,90.0,top
R42,138.441364,-116.262477,90.0,top
R43,140.981364,-116.262477,90.0,top
R44,143.521364,-116.262477,90.0,top
R45,93.3876,-90.6886,180.0,top
R46,93.3876,-93.2286,180.0,top
R47,93.3876,-95.794,0.0,top
R49,123.308001,-63.078801,90.0,top
R5,83.9749,-151.0471,270.0,top
R50,126.254401,-63.104201,270.0,top
R53,106.169401,-71.017,180.0,top
R56,106.169401,-54.6594,0.0,top
R58,94.155201,-71.017,180.0,top
R6,113.479,-120.4574,0.0,top
R61,94.155201,-54.6594,0.0,top
R63,167.6208,-63.0788,90.0,top
R64,170.5672,-63.1042,270.0,top
R67,150.4822,-71.016999,180.0,top
R7,108.503334,-131.3936,270.0,top
R70,150.4822,-54.659399,0.0,top
R72,138.468,-71.016999,180.0,top
R75,138.468,-54.659399,0.0,top
R77,78.9952,-63.0788,90.0,top
R78,81.9416,-63.1042,270.0,top
R8,108.503334,-135.263801,270.0,top
R81,49.8424,-71.016999,180.0,top
R84,49.8424,-54.659399,0.0,top
R86,61.8566,-71.016999,180.0,top
R89,61.8566,-54.659399,0.0,top
R9,120.746134,-143.0616,90.0,top
U1,118.299025,-114.484975,270.0,top
U10,57.1716,-47.905,90.0,top
U11,126.356001,-47.915001,90.0,top
U12,101.484401,-47.905001,90.0,top
U14,107.724401,-62.8536,90.0,top
U15,95.710201,-62.8536,90.0,top
U16,170.6688,-47.915,90.0,top
U17,145.7972,-47.905,90.0,top
U19,152.0372,-62.853599,90.0,top
U20,140.023,-62.853599,90.0,top
U21,57.5068,-99.9596,270.0,top
U22,148.6166,-99.5278,90.0,top
U24,51.3974,-62.853599,90.0,top
U25,63.4116,-62.853599,90.0,top
U4,114.726334,-135.9864,180.0,top
U5,131.696867,-135.8806,180.0,top
U6,148.6674,-135.9006,180.0,top
U7,165.637933,-135.8044,180.0,top
U8,107.2197,-91.9695,0.0,top
U9,82.0432,-47.915,90.0,top
