"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","0,1u","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C2","0,1u","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C3","0,1u","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C4","330n","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C5","330n","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C6","330n","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C7","0,1u","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C8","330n","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C9","0,1u","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C10","330n","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C11","0,1u","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C12","330n","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C13","0,1u","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C14","0,1u","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C15","C_pwm","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C16","0,1u","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C17","C_pwm","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C18","0,1u","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C19","C_err","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C20","0,1u","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C21","0,1u","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C22","C_pwm","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C23","0,1u","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C24","C_pwm","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C25","0,1u","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C26","C_err","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C27","0,1u","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C28","0,1u","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C29","0,1u","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C30","0,1u","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C31","0,1u","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C32","C_pwm","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C33","0,1u","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C34","C_err","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C35","0,1u","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C36","C_pwm","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
"C37","0,1u","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","1",""
