"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C7,C9,C11,C13,C14,C16,C18,C20,C21,C23,C25,C27,C28,C29,C30,C31,C33,C35,C37","0,1u","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","22",""
"C4,C5,C6,C8,C10,C12","330n","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","6",""
"C15,C17,C22,C24,C32,C36","C_pwm","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","6",""
"C19,C26,C34","C_err","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","3",""
"F1","1A","~","Fuse:Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm","1",""
"F2,F3","0,4A","~","Fuse:Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm","2",""
"F4","3A","~","Fuse:Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm","1",""
"J1,J7,J8,J9","Conn_01x03_Pin","~","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","4",""
"J2,J3,J11,J12,J14,J15,J17,J18,J19,J20","Conn_01x02_Pin","~","-- mixed values --","10",""
"J4,J6","Conn_02x02_ZigZag","~","Modules:Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical","2",""
"J5","Conn_02x03_ZigZag","~","Modules:Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical","1",""
"J10,J13,J16","Conn_02x07_Odd_Even","~","Connector_IDC:IDC-Header_2x07_P2.54mm_Latch_Vertical","3",""
"R1,R2,R4,R5,R7,R18,R19,R21,R22,R24,R26,R27,R29,R30,R32,R34,R35,R37,R38,R40","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","20",""
"R3,R20,R28,R36","47","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4",""
"R6,R9,R11,R23,R31,R39","3k3","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","6",""
"R8","4k7","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R10,R13","91","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R12","2k7","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R14,R15,R16,R17,R25,R33","1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","6",""
"R41,R43,R47,R49,R53,R57","150","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","6",""
"R42,R44,R48,R50,R54,R58","1k5","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","6",""
"R45,R51,R55","1k2","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","3",""
"R46,R52,R56","470","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","3",""
"RV1,RV2,RV3,RV4","Varistor","~","Varistor:RV_Disc_D12mm_W3.9mm_P7.5mm","4",""
"U1,U4,U5,U6,U7","LM324","http://www.ti.com/lit/ds/symlink/lm2902-n.pdf","Package_DIP:DIP-14_W7.62mm","5",""
"U2,U3","LV25-P","https://www.lem.com/sites/default/files/products_datasheets/lv_25-p.pdf","Sensor_Voltage:LEM_LV25-P","2",""
"U8,U12,U16","HEF4093B","https://assets.nexperia.com/documents/data-sheet/HEF4093B.pdf","Package_DIP:DIP-14_W7.62mm","3",""
"U9,U10,U11,U13,U14,U15,U20,U21,U22","H11L1","https://www.onsemi.com/pub/Collateral/H11L3M-D.PDF","Package_DIP:DIP-6_W7.62mm","9",""
"U17,U19","ESP32-DevKitC","https://docs.espressif.com/projects/esp-idf/zh_CN/latest/esp32/hw-reference/esp32/get-started-devkitc.html","Espressif:ESP32-DevKitC","2",""
"U18","~","","Modules:TJA1050","1",""
