t_rel_s,seq,x0,x1,x2,x3,x4,x5,duty_u,duty_v,duty_w
126.675247,1550,24.117000,24.012000,4.422000,4.536000,3.506000,0.000000,0,0,0
126.774851,1551,27.482000,27.317000,4.422000,4.405000,3.097000,0.000000,0,0,0
126.874905,1552,27.482000,27.317000,4.438000,4.405000,3.097000,0.000000,0,0,0
126.974822,1553,27.358000,27.317000,4.487000,4.422000,3.097000,0.000000,0,0,0
127.074864,1554,27.482000,27.410000,4.503000,4.471000,3.130000,0.000000,0,0,0
127.174948,1555,27.451000,27.363000,4.569000,4.536000,3.162000,0.000000,0,0,0
127.276557,1556,27.389000,27.363000,4.618000,4.569000,3.179000,0.000000,0,0,0
127.376667,1557,27.326000,27.317000,4.634000,4.618000,3.244000,0.000000,0,0,0
127.476639,1558,27.140000,27.317000,4.781000,4.732000,3.309000,0.000000,0,0,0
127.574786,1559,27.825000,27.782000,4.781000,4.749000,3.326000,0.000000,0,0,0
127.674060,1560,28.697000,28.759000,4.929000,4.945000,3.473000,0.000000,0,0,0
127.776411,1561,28.978000,29.085000,5.027000,4.978000,3.473000,0.000000,0,0,0
127.876335,1562,29.445000,29.504000,4.994000,4.961000,3.424000,0.000000,0,0,0
127.976200,1563,30.255000,30.248000,5.141000,5.174000,3.555000,0.000000,0,0,0
128.074840,1564,31.128000,31.365000,5.288000,5.256000,3.587000,0.000000,0,0,0
128.174200,1565,31.284000,31.365000,5.223000,5.207000,3.555000,0.000000,0,0,0
128.273938,1566,31.938000,32.156000,5.387000,5.370000,3.637000,0.000000,0,0,0
128.373875,1567,33.029000,33.087000,5.436000,5.452000,3.653000,0.000000,0,0,0
128.473768,1568,32.997000,33.041000,5.419000,5.387000,3.620000,0.000000,0,0,0
128.573609,1569,33.029000,33.087000,5.436000,5.419000,3.620000,0.000000,0,0,0
128.673595,1570,33.434000,33.506000,5.452000,5.403000,3.637000,0.000000,0,0,0
128.773335,1571,34.524000,34.576000,5.583000,5.550000,3.702000,0.000000,0,0,0
128.873571,1572,34.680000,34.530000,5.550000,5.501000,3.702000,0.000000,0,0,0
128.973403,1573,35.459000,35.461000,5.697000,5.730000,3.833000,0.000000,0,0,0
129.073370,1574,36.020000,35.879000,5.763000,5.697000,3.816000,0.000000,0,0,0
129.173450,1575,36.269000,36.066000,5.746000,5.763000,3.849000,0.000000,0,0,0
129.273158,1576,35.957000,35.740000,5.665000,5.681000,3.800000,0.000000,0,0,0
129.373086,1577,36.363000,35.926000,5.730000,5.763000,3.833000,0.000000,0,0,0
129.473154,1578,36.487000,36.298000,5.795000,5.779000,3.849000,0.000000,0,0,0
129.573156,1579,36.861000,36.671000,5.894000,5.894000,3.865000,0.000000,0,0,0
129.672861,1580,37.204000,36.903000,5.894000,5.877000,3.865000,0.000000,0,0,0
129.772633,1581,37.858000,37.508000,6.090000,6.090000,3.996000,0.000000,0,0,0
129.872780,1582,37.422000,36.484000,5.779000,5.910000,3.931000,0.000000,0,0,0
129.972771,1583,37.547000,36.624000,5.795000,5.926000,3.947000,0.000000,0,0,0
130.072759,1584,38.544000,37.601000,5.943000,6.057000,4.045000,0.000000,0,0,0
130.172691,1585,39.229000,38.392000,6.008000,6.172000,4.094000,0.000000,0,0,0
130.272488,1586,39.291000,38.486000,5.992000,6.155000,4.062000,0.000000,0,0,0
130.372462,1587,39.073000,38.346000,5.959000,6.073000,4.013000,0.000000,0,0,0
130.472521,1588,39.416000,38.532000,6.024000,6.172000,4.111000,0.000000,0,0,0
130.572314,1589,39.572000,38.672000,6.057000,6.237000,4.144000,0.000000,0,0,0
130.672237,1590,39.447000,38.625000,6.041000,6.221000,4.127000,0.000000,0,0,0
130.771842,1591,39.759000,38.765000,6.073000,6.221000,4.127000,0.000000,0,0,0
130.872191,1592,39.634000,38.811000,6.057000,6.204000,4.144000,0.000000,0,0,0
130.972075,1593,40.943000,40.114000,6.237000,6.417000,4.209000,0.000000,0,0,0
131.072088,1594,41.348000,40.440000,6.352000,6.466000,4.291000,0.000000,0,0,0
131.171806,1595,41.410000,40.673000,6.368000,6.482000,4.274000,0.000000,0,0,0
131.271489,1596,41.410000,40.719000,6.433000,6.499000,4.307000,0.000000,0,0,0
131.371865,1597,42.314000,41.650000,6.515000,6.646000,4.373000,0.000000,0,0,0
131.471581,1598,42.532000,41.929000,6.580000,6.695000,4.389000,0.000000,0,0,0
131.571706,1599,42.096000,41.417000,6.466000,6.613000,4.356000,0.000000,0,0,0
131.671623,1600,40.631000,40.394000,7.038000,7.267000,4.978000,0.000000,0,0,0
131.771207,1601,42.345000,41.511000,6.515000,6.630000,4.307000,0.000000,0,0,0
131.871464,1602,42.532000,41.604000,6.580000,6.662000,4.389000,0.000000,0,0,0
131.971274,1603,42.563000,41.650000,6.531000,6.679000,4.389000,0.000000,0,0,0
132.071175,1604,42.314000,41.278000,6.531000,6.679000,4.373000,0.000000,0,0,0
132.171221,1605,42.719000,41.743000,6.613000,6.744000,4.389000,0.000000,0,0,0
132.271142,1606,43.436000,42.488000,6.744000,6.842000,4.422000,0.000000,0,0,0
132.371093,1607,43.342000,42.441000,6.711000,6.842000,4.405000,0.000000,0,0,0
132.471053,1608,43.404000,42.534000,6.711000,6.875000,4.422000,0.000000,0,0,0
132.570953,1609,43.996000,43.000000,6.728000,6.891000,4.405000,0.000000,0,0,0
132.670792,1610,44.121000,43.232000,6.760000,6.924000,4.438000,0.000000,0,0,0
132.770582,1611,44.464000,43.325000,6.891000,7.022000,4.569000,0.000000,0,0,0
132.870749,1612,44.588000,43.744000,6.908000,7.104000,4.601000,0.000000,0,0,0
132.970668,1613,44.464000,43.558000,6.875000,7.055000,4.585000,0.000000,0,0,0
133.070889,1614,44.682000,43.651000,6.891000,7.022000,4.569000,0.000000,0,0,0
133.170631,1615,44.620000,43.698000,6.891000,7.038000,4.569000,0.000000,0,0,0
133.270638,1616,44.028000,43.139000,6.793000,6.908000,4.373000,0.000000,0,0,0
133.370581,1617,44.059000,43.093000,6.744000,6.924000,4.389000,0.000000,0,0,0
133.470343,1618,44.526000,43.651000,6.842000,6.957000,4.405000,0.000000,0,0,0
133.570647,1619,44.993000,44.070000,6.891000,7.006000,4.487000,0.000000,0,0,0
133.670344,1620,45.118000,44.117000,6.940000,7.022000,4.503000,0.000000,0,0,0
133.770128,1621,45.274000,44.442000,6.973000,7.055000,4.536000,0.000000,0,0,0
133.870354,1622,45.243000,44.442000,6.973000,7.055000,4.536000,0.000000,0,0,0
133.970199,1623,45.399000,44.535000,6.989000,7.071000,4.552000,0.000000,0,0,0
134.070095,1624,45.430000,44.582000,7.006000,7.120000,4.569000,0.000000,0,0,0
134.170250,1625,45.492000,44.582000,7.055000,7.120000,4.569000,0.000000,0,0,0
134.270118,1626,45.586000,44.582000,7.038000,7.137000,4.585000,0.000000,0,0,0
134.369948,1627,45.554000,44.535000,7.022000,7.169000,4.552000,0.000000,0,0,0
134.469979,1628,45.212000,44.303000,6.989000,7.087000,4.536000,0.000000,0,0,0
134.569812,1629,45.149000,44.163000,6.973000,7.120000,4.585000,0.000000,0,0,0
134.669855,1630,46.894000,45.978000,7.284000,7.480000,4.814000,0.000000,0,0,0
134.769428,1631,47.081000,46.071000,7.300000,7.496000,4.781000,0.000000,0,0,0
134.869754,1632,46.583000,45.745000,7.202000,7.300000,4.634000,0.000000,0,0,0
134.969585,1633,46.489000,45.559000,7.202000,7.267000,4.601000,0.000000,0,0,0
135.069489,1634,47.829000,46.816000,7.333000,7.496000,4.651000,0.000000,0,0,0
135.169748,1635,48.109000,47.235000,7.513000,7.611000,4.830000,0.000000,0,0,0
135.269687,1636,48.234000,47.235000,7.513000,7.627000,4.830000,0.000000,0,0,0
135.369539,1637,48.047000,47.281000,7.513000,7.627000,4.781000,0.000000,0,0,0
135.469272,1638,48.359000,47.421000,7.496000,7.611000,4.830000,0.000000,0,0,0
135.569398,1639,48.452000,47.514000,7.529000,7.611000,4.880000,0.000000,0,0,0
135.669369,1640,49.885000,49.003000,7.709000,7.889000,4.929000,0.000000,0,0,0
135.768997,1641,50.041000,49.143000,7.823000,8.020000,5.043000,0.000000,0,0,0
135.869057,1642,50.166000,49.189000,7.791000,8.003000,5.010000,0.000000,0,0,0
135.968990,1643,50.446000,49.375000,7.840000,8.036000,5.027000,0.000000,0,0,0
136.069045,1644,50.446000,49.515000,7.840000,8.052000,5.027000,0.000000,0,0,0
136.169205,1645,50.477000,49.608000,7.840000,8.020000,5.010000,0.000000,0,0,0
136.268874,1646,50.477000,49.562000,7.823000,8.036000,5.043000,0.000000,0,0,0
136.368965,1647,50.353000,49.375000,7.823000,7.987000,4.978000,0.000000,0,0,0
136.468821,1648,50.290000,49.236000,7.807000,7.954000,4.945000,0.000000,0,0,0
136.568217,1649,50.384000,49.282000,7.791000,7.922000,4.912000,0.000000,0,0,0
136.668613,1650,50.477000,49.655000,7.823000,8.003000,5.027000,0.000000,0,0,0
136.770347,1651,49.948000,49.050000,7.660000,7.774000,4.814000,0.000000,0,0,0
136.868492,1652,49.948000,49.050000,7.676000,7.823000,4.830000,0.000000,0,0,0
136.968467,1653,49.698000,48.677000,7.595000,7.725000,4.781000,0.000000,0,0,0
137.068535,1654,50.602000,49.655000,7.709000,7.823000,4.830000,0.000000,0,0,0
137.168637,1655,51.225000,50.213000,7.856000,7.971000,4.912000,0.000000,0,0,0
137.268147,1656,52.721000,51.935000,8.085000,8.249000,5.076000,0.000000,0,0,0
137.368300,1657,52.970000,51.981000,8.052000,8.167000,5.010000,0.000000,0,0,0
137.471994,1658,54.030000,52.819000,8.102000,8.249000,5.109000,0.000000,0,0,0
137.570393,1659,54.964000,53.796000,8.641000,8.854000,5.452000,0.000000,0,0,0
137.670305,1660,55.868000,55.053000,8.674000,8.903000,5.436000,0.000000,0,0,0
137.767903,1661,56.398000,55.751000,8.887000,9.099000,5.583000,0.000000,0,0,0
137.868155,1662,56.616000,55.798000,8.805000,9.083000,5.550000,0.000000,0,0,0
137.968123,1663,57.987000,57.147000,9.050000,9.214000,5.616000,0.000000,0,0,0
138.068161,1664,58.329000,57.752000,9.165000,9.410000,5.730000,0.000000,0,0,0
138.167997,1665,58.392000,57.613000,9.132000,9.377000,5.697000,0.000000,0,0,0
138.267862,1666,59.420000,58.683000,9.246000,9.459000,5.697000,0.000000,0,0,0
138.367810,1667,59.389000,58.590000,9.181000,9.377000,5.616000,0.000000,0,0,0
138.467424,1668,60.168000,59.474000,9.426000,9.606000,5.763000,0.000000,0,0,0
138.567933,1669,60.105000,59.474000,9.361000,9.557000,5.730000,0.000000,0,0,0
138.667850,1670,60.043000,59.334000,9.295000,9.492000,5.665000,0.000000,0,0,0
138.767343,1671,59.887000,59.241000,9.263000,9.443000,5.632000,0.000000,0,0,0
138.867572,1672,59.919000,59.241000,9.197000,9.410000,5.616000,0.000000,0,0,0
138.967638,1673,59.856000,59.102000,9.197000,9.394000,5.616000,0.000000,0,0,0
139.067593,1674,59.825000,59.102000,9.181000,9.394000,5.632000,0.000000,0,0,0
139.167596,1675,59.794000,58.916000,9.148000,9.361000,5.599000,0.000000,0,0,0
139.267353,1676,59.763000,58.869000,9.148000,9.328000,5.517000,0.000000,0,0,0
139.371168,1677,59.700000,58.869000,9.116000,9.312000,5.648000,0.000000,0,0,0
139.471103,1678,59.576000,58.729000,9.083000,9.295000,5.648000,0.000000,0,0,0
139.569320,1679,59.451000,58.450000,9.066000,9.295000,5.665000,0.000000,0,0,0
139.669213,1680,60.168000,59.474000,9.345000,9.573000,5.730000,0.000000,0,0,0
139.769204,1681,60.168000,59.474000,9.328000,9.508000,5.681000,0.000000,0,0,0
139.869560,1682,60.105000,59.428000,9.295000,9.492000,5.665000,0.000000,0,0,0
139.968997,1683,59.856000,59.195000,9.263000,9.410000,5.648000,0.000000,0,0,0
140.068943,1684,59.856000,59.195000,9.197000,9.394000,5.583000,0.000000,0,0,0
140.169007,1685,59.887000,59.055000,9.165000,9.377000,5.616000,0.000000,0,0,0
140.268968,1686,59.763000,59.009000,9.181000,9.345000,5.616000,0.000000,0,0,0
140.368845,1687,60.043000,59.195000,9.165000,9.377000,5.583000,0.000000,0,0,0
140.468885,1688,59.358000,58.404000,9.066000,9.230000,5.550000,0.000000,0,0,0
140.568850,1689,60.822000,59.753000,9.197000,9.410000,5.632000,0.000000,0,0,0
140.668796,1690,60.853000,59.800000,9.246000,9.459000,5.681000,0.000000,0,0,0
140.768986,1691,60.916000,59.800000,9.197000,9.410000,5.697000,0.000000,0,0,0
140.868689,1692,60.853000,59.800000,9.197000,9.426000,5.714000,0.000000,0,0,0
140.967575,1693,60.698000,59.660000,9.181000,9.426000,5.714000,0.000000,0,0,0
141.066119,1694,60.666000,59.474000,9.181000,9.443000,5.746000,0.000000,0,0,0
141.166692,1695,60.604000,59.521000,9.148000,9.475000,5.730000,0.000000,0,0,0
141.266516,1696,60.573000,59.567000,9.132000,9.475000,5.763000,0.000000,0,0,0
141.366485,1697,60.511000,59.521000,9.165000,9.475000,5.779000,0.000000,0,0,0
141.466268,1698,60.511000,59.474000,9.181000,9.475000,5.795000,0.000000,0,0,0
141.566273,1699,60.479000,59.381000,9.132000,9.394000,5.795000,0.000000,0,0,0
141.666328,1700,62.349000,62.127000,9.901000,10.130000,6.024000,0.000000,0,0,0
141.765886,1701,60.604000,59.521000,9.148000,9.459000,5.763000,0.000000,0,0,0
141.866152,1702,60.698000,59.567000,9.165000,9.475000,5.763000,0.000000,0,0,0
141.965949,1703,60.729000,59.660000,9.148000,9.475000,5.746000,0.000000,0,0,0
142.066063,1704,60.698000,59.614000,9.148000,9.443000,5.714000,0.000000,0,0,0
142.166035,1705,60.822000,59.707000,9.181000,9.426000,5.746000,0.000000,0,0,0
142.265782,1706,60.666000,59.567000,9.181000,9.459000,5.714000,0.000000,0,0,0
