t_rel_s,seq,x0,x1,x2,x3,x4,x5,duty_u,duty_v,duty_w
21.931667,428,43.467000,42.720000,6.024000,6.139000,5.288000,0.000000,0,0,0
22.029442,429,43.623000,43.000000,6.057000,6.188000,5.190000,0.000000,0,0,0
22.129437,430,43.685000,43.000000,6.073000,6.204000,5.223000,0.000000,0,0,0
22.229270,431,43.716000,43.046000,6.090000,6.188000,5.190000,0.000000,0,0,0
22.329213,432,43.654000,43.139000,6.073000,6.188000,5.321000,0.000000,0,0,0
22.429624,433,43.685000,43.186000,6.139000,6.188000,5.207000,0.000000,0,0,0
22.529451,434,43.716000,43.186000,6.123000,6.204000,5.190000,0.000000,0,0,0
22.629596,435,43.716000,43.279000,6.237000,6.221000,5.190000,0.000000,0,0,0
22.729438,436,43.685000,43.186000,6.253000,6.221000,5.174000,0.000000,0,0,0
22.829492,437,43.654000,43.232000,6.286000,6.237000,5.190000,0.000000,0,0,0
22.929139,438,43.467000,43.325000,6.384000,6.384000,5.190000,0.000000,0,0,0
23.029388,439,43.498000,43.419000,6.466000,6.417000,5.272000,0.000000,0,0,0
23.129518,440,43.311000,43.372000,6.548000,6.482000,5.190000,0.000000,0,0,0
23.229804,441,43.124000,43.186000,6.548000,6.499000,5.321000,0.000000,0,0,0
23.329335,442,43.591000,43.977000,6.809000,6.760000,5.550000,0.000000,0,0,0
23.429728,443,44.433000,44.722000,7.038000,7.038000,5.812000,0.000000,0,0,0
23.529421,444,45.118000,45.606000,7.120000,7.169000,5.910000,0.000000,0,0,0
23.629750,445,45.336000,45.699000,7.153000,7.120000,5.861000,0.000000,0,0,0
23.729660,446,45.243000,45.652000,7.153000,7.120000,5.779000,0.000000,0,0,0
23.833308,447,45.025000,45.466000,7.153000,7.186000,5.926000,0.000000,0,0,0
23.931161,448,45.586000,46.211000,7.366000,7.382000,6.106000,0.000000,0,0,0
24.029878,449,46.676000,47.281000,7.578000,7.562000,6.286000,0.000000,0,0,0
24.129554,450,47.299000,47.933000,7.611000,7.627000,6.368000,0.000000,0,0,0
24.229616,451,42.189000,42.209000,6.989000,7.267000,6.401000,0.000000,0,0,0
24.329579,452,45.243000,46.118000,7.774000,7.905000,6.760000,0.000000,0,0,0
24.429884,453,45.212000,46.071000,7.758000,7.971000,6.793000,0.000000,0,0,0
24.529708,454,45.180000,46.025000,7.774000,7.954000,6.859000,0.000000,0,0,0
24.629816,455,44.993000,45.885000,7.742000,7.938000,6.842000,0.000000,0,0,0
24.729720,456,44.869000,45.652000,7.742000,7.938000,6.826000,0.000000,0,0,0
24.829367,457,44.682000,45.559000,7.709000,7.905000,6.826000,0.000000,0,0,0
24.929756,458,44.557000,45.373000,7.693000,7.922000,6.809000,0.000000,0,0,0
25.029807,459,44.215000,44.908000,7.660000,7.856000,6.793000,0.000000,0,0,0
25.129701,460,44.464000,45.234000,7.676000,7.905000,6.891000,0.000000,0,0,0
25.229936,461,46.364000,47.095000,7.987000,8.200000,7.071000,0.000000,0,0,0
25.329697,462,47.362000,48.212000,8.102000,8.347000,7.251000,0.000000,0,0,0
25.429954,463,48.172000,48.817000,8.216000,8.445000,7.316000,0.000000,0,0,0
25.529741,464,48.016000,48.677000,8.151000,8.445000,7.284000,0.000000,0,0,0
25.629848,465,47.891000,48.305000,8.118000,8.412000,7.267000,0.000000,0,0,0
25.729730,466,47.673000,48.212000,8.069000,8.347000,7.235000,0.000000,0,0,0
25.830011,467,47.642000,48.072000,8.036000,8.314000,7.251000,0.000000,0,0,0
25.930035,468,47.486000,47.979000,8.020000,8.265000,7.202000,0.000000,0,0,0
26.030031,469,47.486000,47.700000,8.003000,8.265000,7.137000,0.000000,0,0,0
26.130043,470,47.362000,47.747000,7.987000,8.200000,7.153000,0.000000,0,0,0
26.229962,471,47.206000,47.560000,7.905000,8.134000,7.104000,0.000000,0,0,0
26.329631,472,47.081000,47.328000,7.791000,8.102000,7.071000,0.000000,0,0,0
26.430054,473,47.019000,47.235000,7.791000,8.052000,7.022000,0.000000,0,0,0
26.529905,474,46.925000,47.049000,7.709000,7.987000,6.989000,0.000000,0,0,0
26.629921,475,47.112000,47.188000,7.758000,8.052000,7.006000,0.000000,0,0,0
26.729786,476,48.359000,48.212000,7.856000,8.134000,7.071000,0.000000,0,0,0
26.829549,477,49.449000,49.422000,8.003000,8.314000,7.235000,0.000000,0,0,0
26.930102,478,49.543000,49.282000,7.971000,8.265000,7.186000,0.000000,0,0,0
27.030205,479,49.480000,49.189000,7.922000,8.232000,7.120000,0.000000,0,0,0
27.130006,480,49.449000,49.143000,7.823000,8.118000,7.071000,0.000000,0,0,0
27.229859,481,49.449000,49.096000,7.758000,8.069000,7.006000,0.000000,0,0,0
27.329870,482,49.480000,49.096000,7.758000,8.069000,7.022000,0.000000,0,0,0
27.430061,483,49.574000,49.050000,7.709000,8.036000,6.973000,0.000000,0,0,0
27.530425,484,49.418000,49.096000,7.693000,8.020000,6.973000,0.000000,0,0,0
27.630220,485,49.449000,49.003000,7.676000,7.987000,6.940000,0.000000,0,0,0
27.729778,486,49.418000,49.050000,7.627000,7.987000,6.957000,0.000000,0,0,0
27.830153,487,49.449000,48.957000,7.595000,7.938000,6.875000,0.000000,0,0,0
27.930275,488,49.574000,48.957000,7.545000,7.889000,6.809000,0.000000,0,0,0
28.030264,489,49.480000,48.910000,7.513000,7.807000,6.777000,0.000000,0,0,0
28.130296,490,49.574000,48.957000,7.496000,7.823000,6.777000,0.000000,0,0,0
28.230195,491,49.480000,48.817000,7.480000,7.774000,6.728000,0.000000,0,0,0
28.329765,492,49.512000,48.817000,7.464000,7.758000,6.679000,0.000000,0,0,0
28.430312,493,49.605000,48.910000,7.464000,7.742000,6.646000,0.000000,0,0,0
28.530062,494,49.792000,48.910000,7.415000,7.693000,6.613000,0.000000,0,0,0
28.630064,495,49.667000,48.770000,7.366000,7.644000,6.580000,0.000000,0,0,0
28.730054,496,50.322000,49.282000,7.415000,7.693000,6.597000,0.000000,0,0,0
28.830334,497,50.633000,49.748000,7.480000,7.742000,6.613000,0.000000,0,0,0
28.930281,498,51.973000,50.911000,7.578000,7.856000,6.744000,0.000000,0,0,0
29.030379,499,52.347000,51.330000,7.578000,7.889000,6.711000,0.000000,0,0,0
29.130379,500,52.440000,51.283000,7.562000,7.856000,6.646000,0.000000,0,0,0
29.230406,501,53.095000,51.702000,7.382000,7.644000,6.466000,0.000000,0,0,0
29.329929,502,53.219000,51.842000,7.398000,7.644000,6.450000,0.000000,0,0,0
29.430508,503,53.375000,51.981000,7.333000,7.578000,6.368000,0.000000,0,0,0
29.530449,504,53.500000,52.028000,7.382000,7.529000,6.335000,0.000000,0,0,0
29.630299,505,53.562000,52.028000,7.398000,7.562000,6.319000,0.000000,0,0,0
29.730471,506,53.811000,52.261000,7.382000,7.529000,6.253000,0.000000,0,0,0
29.829992,507,53.936000,52.447000,7.382000,7.529000,6.253000,0.000000,0,0,0
29.930367,508,53.936000,52.354000,7.366000,7.529000,6.204000,0.000000,0,0,0
30.030254,509,53.874000,52.354000,7.366000,7.513000,6.204000,0.000000,0,0,0
30.130432,510,54.777000,53.191000,7.513000,7.595000,6.270000,0.000000,0,0,0
30.230524,511,56.086000,54.774000,7.611000,7.742000,6.384000,0.000000,0,0,0
30.330263,512,56.491000,55.193000,7.660000,7.840000,6.401000,0.000000,0,0,0
30.430475,513,56.927000,55.565000,7.758000,7.889000,6.433000,0.000000,0,0,0
30.530580,514,57.177000,55.844000,7.758000,7.938000,6.433000,0.000000,0,0,0
30.630501,515,57.239000,55.937000,7.774000,7.922000,6.466000,0.000000,0,0,0
30.730427,516,57.270000,56.123000,7.791000,7.905000,6.433000,0.000000,0,0,0
30.830568,517,57.301000,56.170000,7.791000,7.954000,6.433000,0.000000,0,0,0
30.930522,518,57.426000,56.356000,7.807000,7.954000,6.450000,0.000000,0,0,0
31.030465,519,57.488000,56.170000,7.791000,7.954000,6.450000,0.000000,0,0,0
31.130646,520,57.519000,56.356000,7.823000,7.971000,6.417000,0.000000,0,0,0
31.230563,521,57.675000,56.496000,7.840000,7.987000,6.450000,0.000000,0,0,0
31.330381,522,57.426000,56.123000,7.791000,7.889000,6.433000,0.000000,0,0,0
31.430626,523,58.205000,56.868000,7.922000,8.052000,6.466000,0.000000,0,0,0
31.530660,524,59.264000,57.938000,8.052000,8.167000,6.548000,0.000000,0,0,0
31.630509,525,60.292000,58.823000,8.151000,8.314000,6.646000,0.000000,0,0,0
31.730703,526,60.479000,59.195000,8.249000,8.330000,6.695000,0.000000,0,0,0
31.830106,527,60.729000,59.288000,8.249000,8.347000,6.760000,0.000000,0,0,0
31.930675,528,60.822000,59.521000,8.249000,8.380000,6.711000,0.000000,0,0,0
32.030480,529,60.853000,59.521000,8.298000,8.380000,6.744000,0.000000,0,0,0
32.130482,530,61.009000,59.567000,8.298000,8.412000,6.744000,0.000000,0,0,0
32.232580,531,61.103000,59.707000,8.281000,8.478000,6.777000,0.000000,0,0,0
32.332675,532,61.227000,59.707000,8.298000,8.478000,6.809000,0.000000,0,0,0
32.432690,533,61.196000,59.753000,8.330000,8.429000,6.777000,0.000000,0,0,0
32.531928,534,61.165000,59.707000,8.281000,8.461000,6.777000,0.000000,0,0,0
32.630622,535,60.853000,59.521000,8.232000,8.429000,6.760000,0.000000,0,0,0
32.730637,536,61.975000,60.591000,8.363000,8.559000,6.908000,0.000000,0,0,0
32.830660,537,62.318000,61.056000,8.445000,8.576000,6.940000,0.000000,0,0,0
32.930688,538,63.190000,61.894000,8.543000,8.658000,6.989000,0.000000,0,0,0
33.030837,539,63.377000,62.034000,8.559000,8.707000,7.006000,0.000000,0,0,0
33.130905,540,65.652000,64.361000,8.854000,9.001000,7.235000,0.000000,0,0,0
33.230826,541,65.808000,64.640000,8.903000,9.017000,7.235000,0.000000,0,0,0
33.330617,542,65.808000,64.500000,8.919000,9.034000,7.235000,0.000000,0,0,0
33.430834,543,65.932000,64.593000,8.936000,9.050000,7.218000,0.000000,0,0,0
33.530746,544,66.026000,64.686000,8.968000,9.066000,7.235000,0.000000,0,0,0
33.630867,545,66.057000,64.826000,9.001000,9.083000,7.251000,0.000000,0,0,0
33.730969,546,66.275000,64.919000,9.034000,9.132000,7.218000,0.000000,0,0,0
33.830983,547,66.400000,64.965000,9.083000,9.181000,7.267000,0.000000,0,0,0
33.930996,548,66.587000,65.338000,9.083000,9.230000,7.333000,0.000000,0,0,0
34.030894,549,66.773000,65.524000,9.066000,9.263000,7.431000,0.000000,0,0,0
34.131057,550,66.992000,65.896000,9.083000,9.312000,7.464000,0.000000,0,0,0
34.230938,551,65.621000,64.314000,8.838000,9.050000,7.218000,0.000000,0,0,0
34.330623,552,65.745000,64.454000,8.870000,9.017000,7.431000,0.000000,0,0,0
34.430465,553,65.870000,64.593000,8.919000,9.034000,7.251000,0.000000,0,0,0
34.530990,554,66.119000,64.779000,8.985000,9.083000,7.251000,0.000000,0,0,0
34.630976,555,66.213000,64.919000,9.001000,9.116000,7.267000,0.000000,0,0,0
34.730852,556,66.462000,65.152000,9.066000,9.148000,7.267000,0.000000,0,0,0
34.831092,557,66.555000,65.245000,9.066000,9.181000,7.316000,0.000000,0,0,0
34.931117,558,66.649000,65.384000,9.083000,9.263000,7.333000,0.000000,0,0,0
35.030992,559,66.711000,65.570000,9.083000,9.263000,7.366000,0.000000,0,0,0
35.131177,560,66.929000,65.664000,9.083000,9.279000,7.431000,0.000000,0,0,0
35.231188,561,67.054000,65.896000,9.099000,9.295000,7.480000,0.000000,0,0,0
35.330973,562,67.210000,66.175000,9.116000,9.295000,7.513000,0.000000,0,0,0
35.431066,563,67.241000,66.455000,9.132000,9.312000,7.496000,0.000000,0,0,0
35.531273,564,67.272000,66.827000,9.263000,9.328000,7.513000,0.000000,0,0,0
35.631167,565,67.303000,66.967000,9.361000,9.361000,7.496000,0.000000,0,0,0
35.731313,566,67.303000,67.013000,9.492000,9.459000,7.513000,0.000000,0,0,0
35.831071,567,67.210000,67.106000,9.573000,9.541000,7.513000,0.000000,0,0,0
35.931150,568,67.179000,67.199000,9.606000,9.590000,7.545000,0.000000,0,0,0
36.031365,569,67.085000,67.246000,9.721000,9.704000,7.644000,0.000000,0,0,0
36.131009,570,67.085000,67.292000,9.819000,9.802000,7.709000,0.000000,0,0,0
36.231255,571,66.898000,67.199000,9.884000,9.901000,7.807000,0.000000,0,0,0
36.330918,572,66.805000,67.246000,9.901000,9.917000,7.856000,0.000000,0,0,0
36.431941,573,66.587000,67.106000,10.031000,10.081000,7.987000,0.000000,0,0,0
36.531402,574,66.587000,67.199000,10.113000,10.097000,8.052000,0.000000,0,0,0
36.631562,575,66.306000,66.967000,10.130000,10.195000,8.167000,0.000000,0,0,0
36.731512,576,65.963000,66.827000,10.211000,10.293000,8.281000,0.000000,0,0,0
